doc_id,title,authors,year,source_type,venue_or_publisher,doc_category,topic_tag,doi_or_url,retrieved_date,inclusion_status,exclusion_reason,filename
DOC013,UNEP-PP-INC.2-4 - Potential options for elements towards an international legally binding instrument on plastic pollution (UNEA Res 5/14),UNEP Secretariat (INC Plastic Pollution),2023,intergovernmental,UNEP/PP/INC.2/4 Secretariat note - INC-2 Paris,policy,policy,https://www.unep.org/inc-plastic-pollution,18/06/2026,include,,DOC013.pdf
DOC014,A Scientific Perspective on Microplastics in Nature and Society (SAPEA Evidence Review Report No. 4),SAPEA Working Group (Science Advice for Policy by European Academies),2019,intergovernmental,SAPEA Evidence Review Report No. 4,policy,policy,https://sapea.info/topic/microplastics/,18/06/2026,include,,DOC014.pdf
DOC015,Guidelines for the reporting requirements set by the REACH restriction of synthetic polymer microparticles (microplastics),European Chemicals Agency (ECHA),2026,intergovernmental,"ECHA-26-G-01-EN (v1.1, April 2026)",policy,policy,10.2823/6001298,18/06/2026,include,,DOC015.pdf
DOC016,Background Document to the Opinion on the Annex XV report proposing restrictions on intentionally added microplastics,ECHA Committee for Risk Assessment (RAC); Committee for Socio-economic Analysis (SEAC),2020,intergovernmental,ECHA/RAC/RES-O-0000006790-71-01/F; ECHA/SEAC/RES-O-0000006901-74-01/F,policy,policy,https://echa.europa.eu/hot-topics/microplastics,18/06/2026,include,,DOC016.pdf
DOC017,COMEAP Statement on airborne nano- and microplastic particles and fibres,UK Committee on the Medical Effects of Air Pollutants (COMEAP),2025,government,COMEAP statement (UK government scientific advisory committee),policy,health,https://www.gov.uk/government/groups/committee-on-the-medical-effects-of-air-pollutants-comeap,18/06/2026,include,,DOC017.pdf
DOC018,COMEAP SETE working paper - Inhalation of environmental airborne nano- and microplastic particles and fibres (NMPs),UK Committee on the Medical Effects of Air Pollutants (COMEAP),2025,government,Working paper for COMEAP NMP Statement,policy,health,https://www.gov.uk/government/groups/committee-on-the-medical-effects-of-air-pollutants-comeap,18/06/2026,include,,DOC018.pdf
DOC019,COMEAP SETE working paper - Inhalation of traffic-related air pollution (TRAP),UK Committee on the Medical Effects of Air Pollutants (COMEAP),2025,government,Working paper for COMEAP NMP Statement (TRAP comparator),policy,health,https://www.gov.uk/government/groups/committee-on-the-medical-effects-of-air-pollutants-comeap,18/06/2026,include,,DOC019.pdf
DOC020,Governing with Artificial Intelligence - The State of Play and Way Forward in Core Government Functions,OECD,2025,intergovernmental,OECD report,policy,policy,https://doi.org/10.1787/795de142-en,18/06/2026,include,,DOC020.pdf
DOC021,Dietary and inhalation exposure to nano- and microplastic particles and potential implications for human health,World Health Organization (WHO),2022,intergovernmental,WHO report (ISBN 978-92-4-005460-8),policy,health,https://www.who.int/publications/i/item/9789240054608,18/06/2026,include,,DOC021.pdf
DOC022,"Global Plastics Outlook - Economic Drivers, Environmental Impacts and Policy Options",OECD,2022,intergovernmental,OECD report,policy,policy,https://www.oecd-ilibrary.org/environment/global-plastics-outlook_de747aef-en,18/06/2026,include,,DOC022.pdf
DOC023,Efficient Atmospheric Transport of Microplastics over Asia and Adjacent Oceans,Long X.; Fu T.-M.; Yang X.; Tang Y.; Zheng Y.; Zhu L.; Shen H.; Ye J.; Wang C.; Wang T.; Li B.,2022,peer_reviewed,Environmental Science & Technology,science,transport,10.1021/acs.est.1c07825,02/07/2026,include,,DOC023.pdf
DOC024,Shape Matters: Long-Range Transport of Microplastic Fibers in the Atmosphere,Tatsii D.; Bucci S.; Bhowmick T.; Guettler J.; Bakels L.; Bagheri G.; Stohl A.,2023,peer_reviewed,Environmental Science & Technology,science,transport,10.1021/acs.est.3c08066,02/07/2026,include,,DOC024.pdf
DOC025,"Atmospheric microplastics: exposure, toxicity, and detrimental health effects",Abad López A.P.; Trilleras J.; Arana V.A.; Garcia-Alzate L.S.; Grande-Tovar C.D.,2023,peer_reviewed,RSC Advances,science,health,10.1039/D2RA07098G,02/07/2026,include,,DOC025.pdf
DOC026,"Positively Charged Microplastics Induce Strong Lettuce Stress Responses from Physiological, Transcriptomic, and Metabolomic Perspectives",Wang Y.; Xiang L.; Wang F.; Wang Z.; Bian Y.; Gu C.; Wen X.; Kengara F.O.; Schäffer A.; Jiang X.; Xing B.,2022,peer_reviewed,Environmental Science & Technology,science,ecological,10.1021/acs.est.2c06054,02/07/2026,include,,DOC026.pdf
DOC027,"Atmospheric microplastic input into wetlands: Spatiotemporal patterns, drivers, and unique ecological impacts",Xu L.; Tian X.; Bai X.; Li K.; Zhang G.; Zhang M.; Rillig M.C.; Huang Y.,2025,peer_reviewed,Water Research,science,ecological,10.1016/j.watres.2024.122601,02/07/2026,include,,DOC027.pdf
DOC028,"Characteristics, sources and influencing factors of atmospheric deposition of microplastics in three different ecosystems of Beijing, China",Zhang R.; Jia X.; Wang K.; Lu L.; Li F.; Li J.; Xu L.,2023,peer_reviewed,Science of the Total Environment,science,ecological,10.1016/j.scitotenv.2023.163567,02/07/2026,include,,DOC028.pdf
DOC029,Physical characteristics of microplastic particles and potential for global atmospheric transport: A meta-analysis,Fox S.; Stefánsson H.; Peternell M.; Zlotskiy E.; Ásbjörnsson E.J.,2024,peer_reviewed,Environmental Pollution,science,methods,10.1016/j.envpol.2023.122938,02/07/2026,include,,DOC029.pdf
DOC030,A review of analytical methods and models used in atmospheric microplastic research,Luo X.; Wang Z.; Yang L.; Gao T.; Zhang Y.,2022,peer_reviewed,Science of the Total Environment,science,methods,10.1016/j.scitotenv.2022.154487,02/07/2026,include,,DOC030.pdf
DOC031,Inhalable microplastics prevails in air: Exploring the size detection limit,Xie Y.; Li Y.; Feng Y.; Cheng W.; Wang Y.,2022,peer_reviewed,Environment International,science,methods,10.1016/j.envint.2022.107151,02/07/2026,include,,DOC031.pdf
DOC032,Atmospheric microplastics emission from municipal solid waste incineration power plant: Field evidence and characterizations,Su T.; Wang H.; Gu X.; Liu S.; Xiong Y.; Deng S.; Li S.,2025,peer_reviewed,Journal of Hazardous Materials Letters,science,sources,10.1016/j.hazl.2025.100149,03/07/2026,include,,DOC032.pdf
DOC033,Mini-review of microplastics in the atmosphere and their risks to humans,Chen G.; Feng Q.; Wang J.,2020,peer_reviewed,Science of the Total Environment,science,review,10.1016/j.scitotenv.2019.135504,03/07/2026,include,,DOC033.pdf
DOC034,Atmospheric transport is a major pathway of microplastics to remote regions,Evangeliou N.; Grythe H.; Klimont Z.; Heyes C.; Eckhardt S.; Lopez-Aparicio S.; Stohl A.,2020,peer_reviewed,Nature Communications,science,transport,10.1038/s41467-020-17201-9,03/07/2026,include,,DOC034.pdf
DOC035,Atmospheric microplastic deposition in an urban environment and an evaluation of transport,Wright S.L.; Ulke J.; Font A.; Chan K.L.A.; Kelly F.J.,2020,peer_reviewed,Environment International,science,sources,10.1016/j.envint.2019.105411,03/07/2026,include,,DOC035.pdf
DOC036,"Fate and Impacts of Microplastics in the Environment: Hydrosphere, Pedosphere, and Atmosphere",Haque F.; Fan C.,2023,peer_reviewed,Environments,science,review,10.3390/environments10050070,03/07/2026,include,,DOC036.pdf
DOC037,"Sources, analysis, and health implications of atmospheric microplastics",Ahmad M.; Chen J.; Khan M.T.; Yu Q.; Phairuang W.; Furuuchi M.; Ali S.W.; Nawab A.; Panyametheekul S.,2023,peer_reviewed,Emerging Contaminants,science,review,10.1016/j.emcon.2023.100233,03/07/2026,include,,DOC037.pdf
